commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Ollon,133.0,2.2,1.7,"Esel Rasse unbekannt  41, Europäisches Sportpferd Schweiz  16, Freiberger  13, Pony Schweiz  10, Shetland Pony  9",
Sumiswald,147.0,2.5,2.9,"Freiberger  42, Shetland Pony  33, Esel Rasse unbekannt  13, Europäisches Sportpferd Schweiz  13, Pony Schweiz  6",
Biasca,48.0,0.8,0.8,"Esel Rasse unbekannt  26, Freiberger  8, Araber  7",
Erstfeld,21.0,0.4,0.5,Esel Rasse unbekannt  8,
Rossa,,,,,
Täsch,10.0,0.2,0.7,,
Grengiols,51.0,0.9,11.8,"Esel Rasse unbekannt  19, Haflinger  12, Shetland Pony  6, Friesen  5",
Lauenen,26.0,0.4,3.1,Freiberger  15,
Liddes,24.0,0.4,3.3,Esel Rasse unbekannt  18,
Schwende-Rüte,75.0,0.8,1.2,"Freiberger  19, Esel Rasse unbekannt  18, Europäisches Sportpferd Schweiz  12, Shetland Pony  8",
Sachseln,30.0,0.6,0.6,"Freiberger  6, Haflinger  6",
Rüschegg,121.0,2.1,7.1,"Freiberger  29, Shetland Pony  28, Esel Rasse unbekannt  16, Europäisches Sportpferd Schweiz  7, American Miniature Horse  6",
Zuoz,78.0,1.2,6.5,"Freiberger  41, Europäisches Sportpferd Schweiz  7",
Alpnach,89.0,1.7,1.5,"Esel Rasse unbekannt  28, Shetland Pony  14, Europäisches Sportpferd Schweiz  12, Freiberger  8, Europäisches Sportpferd Deutschland  5",
Samnaun,6.0,0.1,0.8,,
Entlebuch,194.0,3.4,6.0,"Europäisches Sportpferd Schweiz  64, Shetland Pony  32, Freiberger  26, Esel Rasse unbekannt  12, Europäisches Sportpferd Deutschland  9, Pony Schweiz  9",
La Chaux-de-Fonds,295.0,5.3,0.8,"Europäisches Sportpferd Schweiz  79, Freiberger  33, Pony Schweiz  27, Shetland Pony  19, Europäisches Sportpferd Frankreich  18",
Sigriswil,49.0,0.9,1.0,"Freiberger  10, Shetland Pony  10, Esel Rasse unbekannt  8, Schwarzwälder Fuchs  7",
Ayent,82.0,1.5,2.0,"Freiberger  12, Esel Rasse unbekannt  7, Araber  5, Europäisches Sportpferd Frankreich  5, Pony Schweiz  5",
Jaun,31.0,0.6,4.9,"Esel Rasse unbekannt  20, Freiberger  6",
Leuk,211.0,3.8,5.3,"Esel Rasse unbekannt  30, Haflinger  28, Europäisches Sportpferd Schweiz  25, Europäisches Sportpferd Frankreich  21, Europäisches Sportpferd Deutschland  20",
Guggisberg,176.0,3.2,11.8,"Freiberger  70, Esel Rasse unbekannt  29, Shetland Pony  25, Pony Schweiz  8, Tinker  6",
Eschenbach (SG),159.0,2.9,1.7,"Europäisches Sportpferd Schweiz  16, Esel Rasse unbekannt  13, Freiberger  13, Lusitano  12, Shetland Pony  12",
Grabs,101.0,1.8,1.4,"Europäisches Sportpferd Deutschland  15, Esel Rasse unbekannt  13, Freiberger  12, Europäisches Sportpferd Schweiz  11, Shetland Pony  11",
Randa,,,,,
