commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Bürglen (UR),241.0,4.5,6.1,"Gaemsfarbige_Gebirgsziege  51, Toggenburgerziege  49, Saanenziege  44, Kreuzung  18, Pfauenziege  18",
Trun,97.0,1.9,8.4,"Burenziege  24, Kreuzung  15, Pfauenziege  9, Buendner_Strahlenziege  8, Gaemsfarbige_Gebirgsziege  7",
Arzier-Le Muids,,,,,
Visperterminen,221.0,4.3,16.6,"Walliser_Schwarzhalsziege  154, Gaemsfarbige_Gebirgsziege  45, Pfauenziege  6, Toggenburgerziege  6",
Bern,57.0,1.1,0.0,"Zwergziege  18, Kreuzung  12, Gaemsfarbige_Gebirgsziege  8, Buendner_Strahlenziege  5",
Wattwil,291.0,5.7,3.3,"Appenzellerziege  65, Toggenburgerziege  54, Kreuzung  46, Zwergziege  42, Burenziege  18",Flöckli  7
Köniz,140.0,2.7,0.3,"Zwergziege  33, Saanenziege  27, Gaemsfarbige_Gebirgsziege  14",
Habkern,142.0,2.8,22.4,"Gaemsfarbige_Gebirgsziege  79, Saanenziege  21, Kreuzung  16, Burenziege  8, Buendner_Strahlenziege  7",
Lostallo,99.0,1.9,11.8,"Buendner_Strahlenziege  22, Burenziege  21, Gaemsfarbige_Gebirgsziege  14, Kreuzung  7, Anglo_Nubian  5",
Mosnang,577.0,11.4,20.0,"Toggenburgerziege  169, Gaemsfarbige_Gebirgsziege  128, Burenziege  64, Kreuzung  50, Appenzellerziege  48",Lisa  6
Flims,39.0,0.8,1.3,"Nera_Verzascaziege  10, Kreuzung  9, Buendner_Strahlenziege  6, Zwergziege  5",
Samedan,35.0,0.3,1.2,Kreuzung  24,
Oberems,7.0,0.1,5.8,Stiefelgeiss  7,
Innerthal,134.0,2.7,75.3,"Gaemsfarbige_Gebirgsziege  34, Burenziege  30, Buendner_Strahlenziege  13, Kreuzung  8, Saanenziege  7, Walliser_Schwarzhalsziege  7",
Seewis im Prättigau,113.0,2.3,8.2,"Buendner_Strahlenziege  25, Burenziege  14, Capra_Grigia  13, Toggenburgerziege  12, Gaemsfarbige_Gebirgsziege  10",
Neckertal,0.0,0.0,0.0,,
Walenstadt,221.0,4.8,3.9,"Kreuzung  56, Toggenburgerziege  42, Gaemsfarbige_Gebirgsziege  24, Pfauenziege  19, Stiefelgeiss  12",
Rougemont,25.0,0.5,2.9,"Buendner_Strahlenziege  5, Gaemsfarbige_Gebirgsziege  5, Saanenziege  5",
Churwalden,95.0,2.0,4.9,"Kreuzung  18, Buendner_Strahlenziege  11, Nera_Verzascaziege  11, Pfauenziege  10, Capra_Grigia  7",
Arth,370.0,8.8,3.0,"Toggenburgerziege  81, Burenziege  54, Gaemsfarbige_Gebirgsziege  53, Zwergziege  48, Buendner_Strahlenziege  38",
Langnau im Emmental,554.0,11.5,6.0,"Saanenziege  168, Gaemsfarbige_Gebirgsziege  165, Zwergziege  50, Burenziege  34, Buendner_Strahlenziege  28",
Urnäsch,410.0,8.5,18.1,"Appenzellerziege  314, Zwergziege  43, Toggenburgerziege  17, Gaemsfarbige_Gebirgsziege  11, Kreuzung  9",Flöckli  6
Evionnaz,0.0,0.0,0.0,,
Brienz (BE),227.0,4.7,7.2,"Gaemsfarbige_Gebirgsziege  108, Burenziege  23, Kreuzung  23, Buendner_Strahlenziege  21, Saanenziege  15, Walliser_Schwarzhalsziege  15",
Châtel-Saint-Denis,83.0,1.7,1.1,"Gaemsfarbige_Gebirgsziege  69, Zwergziege  8",
