commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Riviera,47.0,0.5,1.1,Kreuzung  49,
Zwischbergen,218.0,2.5,307.0,"Original Braunvieh  53, Eringer  45, Red Holstein  32, Braunvieh  25, Grauvieh  21",
Nendaz,1132.0,13.2,16.6,"Eringer  853, Simmental  147, Kreuzung  49, Swiss Fleckvieh  23, Red Holstein  20","Bataille  6, Canaille  6, Furie  6, Bella  5, Diamant  5, Mesquine  5, Mira  5, Pagaille  5, Pinson  5, Tulipe  5"
Giswil,2103.0,24.5,57.2,"Braunvieh  1109, Kreuzung  282, Original Braunvieh  251, Holstein  136, Swiss Fleckvieh  111","Bella  12, Viola  12, Hanna  11, Olga  11, Tina  11"
Conthey,983.0,11.6,11.1,"Eringer  496, Kreuzung  137, Limousin  74, Original Braunvieh  70, Angus  57",
Luzein,1273.0,15.2,79.8,"Braunvieh  527, Original Braunvieh  257, Kreuzung  236, Angus  67, Holstein  49","Gloria  9, Flora  8, Enzian  7, Hanna  7, Heidi  7"
Gurtnellen,295.0,3.5,57.6,"Braunvieh  119, Kreuzung  54, Original Braunvieh  52, Grauvieh  41, Limousin  13",
Unterschächen,1180.0,14.7,169.8,"Braunvieh  628, Original Braunvieh  233, Kreuzung  166, Swiss Fleckvieh  40, Angus  30","Nora  9, Olivia  8, Sina  7, Tina  7, Bea  6, Bella  6, Ronja  6"
Realp,583.0,7.5,410.6,"Braunvieh  299, Original Braunvieh  99, Yak  81, Kreuzung  33, Holstein  32",Hubert  9
Boltigen,3901.0,50.6,312.3,"Simmental  1288, Swiss Fleckvieh  1282, Red Holstein  330, Holstein  280, Kreuzung  226","Amanda  16, Pia  15, Olivia  14, Anna  13, Bianca  13, Lea  13, Luna  13, Sina  13"
Sarnen,3770.0,51.6,35.9,"Braunvieh  1942, Original Braunvieh  510, Kreuzung  476, Swiss Fleckvieh  182, Holstein  175, Red Holstein  175","Bella  21, Sina  20, Amanda  19, Belinda  19, Nora  19"
Quinto,772.0,10.3,77.6,"Braunvieh  357, Yak  181, Holstein  75, Kreuzung  64, Original Braunvieh  48",Stella  5
Bedretto,538.0,7.2,527.5,"Braunvieh  258, Original Braunvieh  60, Dexter  42, Swiss Fleckvieh  31, Red Holstein  24",
Flums,2608.0,34.7,52.5,"Braunvieh  1483, Holstein  283, Kreuzung  261, Limousin  175, Original Braunvieh  166","Bella  17, Nora  15, Lisa  14, Petra  12, Bianca  11, Julia  11"
Ferrera,138.0,1.8,174.7,"Kreuzung  64, Braunvieh  36, Grauvieh  9, Original Braunvieh  9, Limousin  8",
Engelberg,1397.0,18.7,33.3,"Braunvieh  821, Kreuzung  249, Holstein  137, Original Braunvieh  101, Limousin  63","Arvi  8, Halma  8, Luna  7, Belinda  6, Fiona  6, Nina  6"
Quarten,1415.0,22.9,47.4,"Braunvieh  569, Original Braunvieh  261, Kreuzung  201, Holstein  84, Grauvieh  59","Bella  10, Nina  7, Viola  7, Bianca  6, Hanna  6, Lotti  6, Nora  6, Sina  6"
Zweisimmen,3351.0,45.9,110.5,"Simmental  1317, Swiss Fleckvieh  998, Holstein  249, Red Holstein  187, Kreuzung  184","Bella  16, Fiona  16, Bianca  15, Lena  13, Lisa  13"
Frutigen,2448.0,33.9,35.1,"Simmental  1635, Swiss Fleckvieh  372, Kreuzung  116, Jersey  63, Limousin  56","Anemone  18, Arnika  16, Flora  13, Lara  13, Belinda  12, Bella  12, Edelweiss  12"
Haute-Sorne,2215.0,31.2,30.9,"Limousin  646, Kreuzung  522, Red Holstein  479, Angus  412, Holstein  386","Violette  7, Caline  6, Etoile  6, Grisette  6, Prune  6"
Savièse,434.0,6.1,5.5,"Eringer  131, Angus  120, Swiss Fleckvieh  65, Limousin  23, Kreuzung  22",
Obersaxen Mundaun,1439.0,20.5,123.6,"Braunvieh  630, Kreuzung  349, Angus  186, Limousin  72, Holstein  69","Bella  8, Nora  8, Paula  7, Fiona  6, Flora  6, Samira  6"
Winterthur,1149.0,16.9,1.0,"Red Holstein  322, Kreuzung  292, Braunvieh  226, Holstein  214, Simmental  78","Gabi  8, Flora  5, Lea  5, Luna  5"
Leukerbad,367.0,5.5,27.6,"Swiss Fleckvieh  126, Red Holstein  40, Holstein  39, Simmental  39, Braunvieh  34, Highland Cattle  34",Paula  5
Plaffeien,4617.0,69.4,127.8,"Swiss Fleckvieh  1537, Red Holstein  861, Holstein  744, Simmental  502, Kreuzung  322","Fiona  19, Bianca  14, Enzian  12, Bella  11, Calanda  11, Flora  11"
Gambarogno,40.0,0.8,0.8,"Charolais  8, Braunvieh  7, Dexter  6, Weissblaue Belgier  6",
Binn,540.0,8.3,425.2,"Braunvieh  158, Original Braunvieh  113, Red Holstein  58, Grauvieh  49, Swiss Fleckvieh  46","Linda  5, Mona  5"
Ormont-Dessous,1648.0,25.7,139.4,"Simmental  396, Kreuzung  300, Swiss Fleckvieh  265, Holstein  156, Limousin  117","Bella  6, Flora  5, Java  5, Luna  5, Stella  5"
Sils im Engadin/Segl,766.0,12.0,107.1,"Kreuzung  290, Braunvieh  157, Angus  85, Limousin  69, Simmental  58",Flora  5
La Punt Chamues-ch,597.0,9.4,87.0,"Braunvieh  206, Kreuzung  112, Angus  75, Holstein  64, Original Braunvieh  52",
Lausanne,167.0,4.0,0.1,"Holstein  83, Angus  67, Jersey  16, Limousin  7, Kreuzung  6",
Gsteig,1487.0,23.8,151.6,"Simmental  640, Swiss Fleckvieh  431, Holstein  116, Angus  98, Red Holstein  73","Nora  9, Gloria  7, Tina  7, Arnika  6, Bianca  6, Nadia  6, Nina  6, Sina  6, Viola  6"
Andermatt,859.0,13.8,56.3,"Braunvieh  465, Yak  141, Original Braunvieh  93, Holstein  70, Red Holstein  38",Bella  5
Trub,3950.0,63.7,300.6,"Swiss Fleckvieh  1505, Holstein  531, Red Holstein  476, Kreuzung  416, Simmental  332","Hubert  17, Bella  15, Nora  15, Fiona  14, Lara  14, Mia  14, Olivia  14"
Acquarossa,542.0,8.8,30.0,"Braunvieh  352, Wasserbueffel  94, Original Braunvieh  39, Holstein  27, Angus  25","Nadia  5, Viola  5"
Clos du Doubs,3575.0,57.9,283.1,"Red Holstein  872, Swiss Fleckvieh  514, Holstein  435, Kreuzung  414, Limousin  361","Iris  8, Tamara  8, Caline  7, Fanny  7, Jade  7, Lila  7"
Isenthal,973.0,16.0,204.4,"Braunvieh  471, Original Braunvieh  242, Kreuzung  81, Highland Cattle  39, Holstein  37","Amanda  8, Sina  8, Bella  6, Lena  6, Bianca  5, Elsa  5, Hanna  5, Lotti  5, Tina  5"
Schiers,1055.0,17.1,38.7,"Braunvieh  417, Angus  213, Original Braunvieh  137, Holstein  105, Kreuzung  82","Bella  6, Nina  6, Paloma  5"
Ormont-Dessus,1513.0,24.6,103.1,"Simmental  738, Swiss Fleckvieh  264, Kreuzung  149, Angus  115, Limousin  113","Bella  6, Iris  6, Berna  5, Fiona  5, Julia  5, Nora  5, Paprika  5, Tina  5"
St. Stephan,1976.0,32.5,150.8,"Simmental  957, Swiss Fleckvieh  606, Kreuzung  101, Original Braunvieh  84, Holstein  51","Fiona  17, Bianca  14, Nora  13, Bella  12, Diana  10"
Eggiwil,5315.0,88.1,213.8,"Swiss Fleckvieh  1677, Red Holstein  1101, Holstein  967, Simmental  713, Kreuzung  304","Bianca  22, Sina  21, Diana  20, Nora  20, Hanna  18"
Haut-Intyamon,3964.0,65.8,249.6,"Holstein  1568, Red Holstein  977, Swiss Fleckvieh  555, Angus  254, Simmental  234","Bella  11, Mimosa  11, Duchesse  9, Perle  9, Stella  9"
Crans-Montana,759.0,12.7,7.4,"Eringer  308, Braunvieh  115, Swiss Fleckvieh  63, Holstein  61, Kreuzung  56",Nina  5
Ollon,1611.0,27.0,21.1,"Simmental  291, Kreuzung  288, Swiss Fleckvieh  255, Limousin  173, Angus  171","Fiona  5, Lila  5, Vanille  5"
Sumiswald,5199.0,87.6,103.1,"Swiss Fleckvieh  1404, Holstein  1054, Red Holstein  1034, Kreuzung  592, Simmental  484","Fiona  25, Belinda  23, Viola  18, Diana  17, Bella  16, Lara  16, Lena  16"
Biasca,169.0,2.9,2.8,"Braunvieh  68, Original Braunvieh  53, Kreuzung  20, Limousin  13, Holstein  9",
Erstfeld,251.0,4.2,6.5,"Braunvieh  151, Holstein  30, Dexter  28, Grauvieh  16, Original Braunvieh  12",
Rossa,0.0,0.0,0.0,,
Täsch,61.0,1.0,4.5,"Swiss Fleckvieh  24, Galloway  9, Simmental  8, Holstein  6",
Grengiols,240.0,4.1,55.7,"Braunvieh  154, Kreuzung  19, Eringer  17, Grauvieh  15, Highland Cattle  12",
Lauenen,1115.0,19.1,134.7,"Simmental  785, Swiss Fleckvieh  87, Kreuzung  86, Yak  49, Grauvieh  19, Holstein  19, Original Braunvieh  19","Lara  9, Mia  8, Fiona  6, Sina  6, Bella  5, Gloria  5, Ladina  5, Luana  5, Luna  5, Nora  5, Olympia  5, Perle  5, Ramona  5, Tina  5"
Liddes,737.0,12.6,100.3,"Eringer  233, Simmental  124, Swiss Fleckvieh  71, Angus  62, Holstein  50",Maya  5
Schwende-Rüte,6847.0,69.6,114.0,"Braunvieh  5091, Original Braunvieh  628, Kreuzung  602, Holstein  287, Limousin  233","Bella  39, Flora  34, Blüemli  28, Bianca  23, Bruna  23"
Sachseln,1950.0,36.2,37.9,"Braunvieh  1074, Original Braunvieh  304, Kreuzung  135, Swiss Fleckvieh  123, Simmental  97","Bella  19, Bianca  12, Sina  12, Hanna  11, Viola  10"
Rüschegg,3237.0,56.5,190.7,"Swiss Fleckvieh  934, Simmental  603, Red Holstein  520, Holstein  401, Kreuzung  294","Fiona  13, Viola  13, Fabienne  12, Lena  12, Sina  12"
Zuoz,1636.0,24.9,136.4,"Braunvieh  558, Kreuzung  410, Angus  212, Holstein  142, Limousin  96","Bella  7, Nina  7, Paula  7, Susi  7, Ella  6, Julia  6, Sina  6, Tanja  6"
Alpnach,2027.0,37.7,33.2,"Braunvieh  1189, Kreuzung  202, Holstein  171, Original Braunvieh  139, Limousin  94","Belinda  11, Bella  10, Jana  10, Jola  10, Nina  9, Ursi  9"
Samnaun,274.0,4.9,34.9,"Kreuzung  93, Braunvieh  62, Limousin  43, Simmental  31, Angus  22",
Entlebuch,3640.0,64.0,112.7,"Braunvieh  1150, Kreuzung  781, Holstein  428, Original Braunvieh  338, Limousin  259","Bella  24, Bianca  22, Amanda  17, Nina  17, Flora  14"
La Chaux-de-Fonds,3904.0,70.1,10.6,"Holstein  1226, Red Holstein  873, Angus  511, Swiss Fleckvieh  426, Simmental  331","Vanille  9, Milka  8, Nikita  8, Nina  8, Violette  8"
