commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Escholzmatt-Marbach,1052.0,9.9,24.2,"Lacaune  161, Kreuzung  156, Schwarzbraunes_Bergschaf  127, Braunkoepfiges_Fleischschaf  92, Walliser_Schwarznasenschaf  74","Nina  5, Sina  5"
Onsernone,220.0,2.1,33.2,"Kreuzung  59, Ostfriesisches_Milchschaf  17, Weisses_Alpenschaf  9, Engadinerschaf  5",
Göschenen,889.0,8.5,207.7,"Weisses_Alpenschaf  424, Schwarzbraunes_Bergschaf  87, Kreuzung  77, Braunkoepfiges_Fleischschaf  54, Engadinerschaf  30",
Glarus,868.0,8.4,6.9,"Weisses_Alpenschaf  200, Schwarzbraunes_Bergschaf  167, Kreuzung  64, Charollais_Suisse  37, Spiegelschaf  30",Flurin  7
Sumvitg,1081.0,10.6,97.9,"Weisses_Alpenschaf  661, Kreuzung  79, Schwarzbraunes_Bergschaf  35, Suffolk  32, Texel  26",
Le Chenit,13.0,0.1,0.3,,
Wassen,1681.0,17.4,408.0,"Weisses_Alpenschaf  681, Kreuzung  286, Schwarzbraunes_Bergschaf  174, Charollais_Suisse  101, Suffolk  59",
Serravalle,759.0,7.8,36.5,"Weisses_Alpenschaf  361, Braunkoepfiges_Fleischschaf  19, Ile_de_France_Suisse  13, Suffolk  13, Ouessant  10",
Breil/Brigels,227.0,2.4,13.1,"Weisses_Alpenschaf  150, Lacaune  16, Texel  6",
Bex,1321.0,13.7,16.8,"Skudde  146, Kreuzung  135, Charollais_Suisse  103, Weisses_Alpenschaf  53, Schwarzbraunes_Bergschaf  49",Paola  5
Airolo,1237.0,13.1,83.8,Weisses_Alpenschaf  33,
Albula/Alvra,107.0,1.1,8.3,"Kreuzung  33, Walliser_Schwarznasenschaf  23, Kamerunschaf  22, Heidschnucke  14",
Avers,345.0,3.7,210.4,"Weisses_Alpenschaf  143, Kreuzung  41, Engadinerschaf  35, Lacaune  29, Schwarzbraunes_Bergschaf  17",
Nesslau,1390.0,15.0,38.5,"Kreuzung  297, Weisses_Alpenschaf  236, Schwarzbraunes_Bergschaf  130, Spiegelschaf  66, Suffolk  66",
Wolfenschiessen,1358.0,14.6,64.2,"Kreuzung  221, Schwarzbraunes_Bergschaf  194, Weisses_Alpenschaf  178, Nolana  133, Braunkoepfiges_Fleischschaf  120",
Kerns,536.0,5.8,8.5,"Weisses_Alpenschaf  152, Braunkoepfiges_Fleischschaf  114, Walliser_Landschaf  95, Kreuzung  46, Kamerunschaf  37",
Zürich,257.0,2.9,0.1,"Weisses_Alpenschaf  94, Skudde  25, Ostfriesisches_Milchschaf  17, Ouessant  13, Spiegelschaf  13",
Simplon,746.0,8.2,255.5,"Walliser_Schwarznasenschaf  155, Dorper  149, Schwarzbraunes_Bergschaf  120, Kreuzung  93, Texel  65",
Disentis/Mustér,2351.0,25.8,117.0,"Weisses_Alpenschaf  856, Buendner_Oberlaender_Schaf  148, Kreuzung  119, Engadinerschaf  103, Schwarzbraunes_Bergschaf  48",
Blatten,1046.0,11.6,353.4,"Weisses_Alpenschaf  362, Walliser_Schwarznasenschaf  166, Kreuzung  71, Suffolk  48, Schwarzbraunes_Bergschaf  41",
