year,month,breed,n_animals
2019,3,Grauvieh,14732.0
2019,4,Grauvieh,14661.0
2019,5,Grauvieh,14566.0
2019,6,Grauvieh,14463.0
2019,7,Grauvieh,14490.0
2019,8,Grauvieh,14516.0
2019,9,Grauvieh,14620.0
2019,10,Grauvieh,14644.0
2019,11,Grauvieh,14703.0
2019,12,Grauvieh,14828.0
2020,1,Grauvieh,14861.0
2020,2,Grauvieh,14982.0
2020,3,Grauvieh,14991.0
2020,4,Grauvieh,14969.0
2020,5,Grauvieh,14890.0
2020,6,Grauvieh,14775.0
2020,7,Grauvieh,14811.0
2020,8,Grauvieh,14891.0
2020,9,Grauvieh,15002.0
2020,10,Grauvieh,15132.0
2020,11,Grauvieh,15138.0
2020,12,Grauvieh,15253.0
2021,1,Grauvieh,15432.0
2021,2,Grauvieh,15475.0
2021,3,Grauvieh,15507.0
2021,4,Grauvieh,15502.0
2021,5,Grauvieh,15382.0
2021,6,Grauvieh,15244.0
2021,7,Grauvieh,15273.0
2021,8,Grauvieh,15314.0
2021,9,Grauvieh,15401.0
2021,10,Grauvieh,15534.0
2021,11,Grauvieh,15506.0
2021,12,Grauvieh,15673.0
2022,1,Grauvieh,15720.0
2022,2,Grauvieh,15865.0
2022,3,Grauvieh,15901.0
2022,4,Grauvieh,15846.0
2022,5,Grauvieh,15686.0
2022,6,Grauvieh,15567.0
2022,7,Grauvieh,15638.0
2022,8,Grauvieh,15673.0
2022,9,Grauvieh,15731.0
2022,10,Grauvieh,15850.0
2022,11,Grauvieh,15769.0
2022,12,Grauvieh,15998.0
2023,1,Grauvieh,16067.0
2023,2,Grauvieh,16078.0
2023,3,Grauvieh,16091.0
2023,4,Grauvieh,16117.0
2023,5,Grauvieh,15931.0
2023,6,Grauvieh,15795.0
2023,7,Grauvieh,15769.0
2010,1,Guernsey,6.0
2010,2,Guernsey,5.0
2010,3,Guernsey,5.0
2010,4,Guernsey,5.0
2010,5,Guernsey,5.0
2010,6,Guernsey,5.0
2010,7,Guernsey,5.0
2010,8,Guernsey,5.0
2010,9,Guernsey,5.0
2010,10,Guernsey,5.0
2010,11,Guernsey,5.0
2010,12,Guernsey,5.0
2011,1,Guernsey,5.0
2011,2,Guernsey,5.0
2011,3,Guernsey,5.0
2011,4,Guernsey,5.0
2011,5,Guernsey,5.0
2011,6,Guernsey,5.0
2011,7,Guernsey,5.0
2011,8,Guernsey,5.0
2011,9,Guernsey,5.0
2011,10,Guernsey,5.0
2011,11,Guernsey,5.0
2011,12,Guernsey,5.0
2012,1,Guernsey,6.0
2012,2,Guernsey,6.0
2012,3,Guernsey,7.0
2012,4,Guernsey,7.0
2012,5,Guernsey,7.0
2012,6,Guernsey,7.0
2012,7,Guernsey,7.0
2012,8,Guernsey,7.0
2012,9,Guernsey,7.0
2012,10,Guernsey,6.0
2012,11,Guernsey,6.0
2012,12,Guernsey,5.0
2013,1,Guernsey,5.0
2013,2,Guernsey,5.0
2013,3,Guernsey,5.0
2013,4,Guernsey,5.0
2013,5,Guernsey,6.0
2013,6,Guernsey,6.0
2013,7,Guernsey,6.0
2013,8,Guernsey,6.0
2013,9,Guernsey,6.0
2013,10,Guernsey,5.0
2013,11,Guernsey,5.0
2013,12,Guernsey,5.0
2014,1,Guernsey,5.0
2014,2,Guernsey,5.0
2014,3,Guernsey,5.0
2014,4,Guernsey,5.0
2014,5,Guernsey,5.0
2014,6,Guernsey,5.0
2014,7,Guernsey,6.0
2014,8,Guernsey,5.0
2014,9,Guernsey,5.0
2014,10,Guernsey,6.0
2014,11,Guernsey,7.0
2014,12,Guernsey,7.0
2015,1,Guernsey,7.0
2015,2,Guernsey,7.0
2015,3,Guernsey,7.0
2015,4,Guernsey,7.0
2015,5,Guernsey,6.0
2015,6,Guernsey,6.0
2015,7,Guernsey,6.0
2015,8,Guernsey,6.0
2015,9,Guernsey,6.0
2015,10,Guernsey,5.0
2015,11,Guernsey,
2015,12,Guernsey,5.0
2016,1,Guernsey,5.0
2016,2,Guernsey,5.0
2016,3,Guernsey,5.0
2016,4,Guernsey,5.0
2016,5,Guernsey,5.0
2016,6,Guernsey,6.0
2016,7,Guernsey,6.0
2016,8,Guernsey,6.0
2016,9,Guernsey,6.0
2016,10,Guernsey,6.0
2016,11,Guernsey,6.0
2016,12,Guernsey,6.0
2017,1,Guernsey,7.0
2017,2,Guernsey,6.0
2017,3,Guernsey,6.0
2017,4,Guernsey,6.0
2017,5,Guernsey,6.0
2017,6,Guernsey,6.0
2017,7,Guernsey,6.0
2017,8,Guernsey,5.0
2017,9,Guernsey,5.0
2017,10,Guernsey,6.0
2017,11,Guernsey,6.0
2017,12,Guernsey,6.0
2018,1,Guernsey,6.0
2018,2,Guernsey,
2018,3,Guernsey,
2018,4,Guernsey,
2018,5,Guernsey,
2018,6,Guernsey,5.0
2018,7,Guernsey,
2018,8,Guernsey,
2018,9,Guernsey,
2018,10,Guernsey,
2018,11,Guernsey,
2018,12,Guernsey,
2019,1,Guernsey,
2019,2,Guernsey,
2019,3,Guernsey,
2019,4,Guernsey,
2019,5,Guernsey,
2019,6,Guernsey,
2019,7,Guernsey,
2019,8,Guernsey,
2019,9,Guernsey,
2019,10,Guernsey,
2019,11,Guernsey,
2019,12,Guernsey,
2020,1,Guernsey,
2020,2,Guernsey,
2020,3,Guernsey,
2020,4,Guernsey,
2020,5,Guernsey,
2020,6,Guernsey,
2020,7,Guernsey,
2020,8,Guernsey,
2020,9,Guernsey,
2020,10,Guernsey,
2020,11,Guernsey,
2020,12,Guernsey,
2021,1,Guernsey,
2021,2,Guernsey,
2021,3,Guernsey,
2021,4,Guernsey,
2021,5,Guernsey,
2021,6,Guernsey,
2021,7,Guernsey,
2021,8,Guernsey,
2021,9,Guernsey,
2021,10,Guernsey,
2021,11,Guernsey,
2021,12,Guernsey,
2022,1,Guernsey,
2022,2,Guernsey,
2022,3,Guernsey,
2022,4,Guernsey,
2022,5,Guernsey,
2022,6,Guernsey,
2022,7,Guernsey,
2022,8,Guernsey,
2022,9,Guernsey,
2022,10,Guernsey,
2022,11,Guernsey,
2022,12,Guernsey,
2023,1,Guernsey,
2023,2,Guernsey,
2023,3,Guernsey,
2023,4,Guernsey,
2023,5,Guernsey,
2023,6,Guernsey,
2023,7,Guernsey,
2010,1,Hereford,1774.0
2010,2,Hereford,1808.0
2010,3,Hereford,1839.0
2010,4,Hereford,1866.0
2010,5,Hereford,1912.0
2010,6,Hereford,1921.0
2010,7,Hereford,1937.0
2010,8,Hereford,1993.0
2010,9,Hereford,2008.0
2010,10,Hereford,2019.0
2010,11,Hereford,2047.0
2010,12,Hereford,2062.0
2011,1,Hereford,2068.0
2011,2,Hereford,2084.0
2011,3,Hereford,2128.0
2011,4,Hereford,2141.0
2011,5,Hereford,2144.0
