year,month,breedtype,age1year,age1year,tot
2021,4,Wildequiden,,,
2021,5,Esel,,14.0,14.0
2021,5,Hofische Rasse,,,
2021,5,Iberer,,,
2021,5,Kaltblut,,11.0,11.0
2021,5,Maultier-Maulesel,,,
2021,5,Ponys und Kleinpferde,,20.0,20.0
2021,5,Vollblut,,,
2021,5,Warmblut,,18.0,18.0
2021,5,Wildequiden,,,
2021,6,Esel,,17.0,17.0
2021,6,Hofische Rasse,,,
2021,6,Iberer,,,
2021,6,Kaltblut,,16.0,16.0
2021,6,Maultier-Maulesel,,,
2021,6,Ponys und Kleinpferde,,23.0,23.0
2021,6,Vollblut,,,
2021,6,Warmblut,,23.0,23.0
2021,6,Wildequiden,,,
2021,7,Esel,,18.0,18.0
2021,7,Hofische Rasse,,,
2021,7,Iberer,,,
2021,7,Kaltblut,,11.0,11.0
2021,7,Maultier-Maulesel,,,
2021,7,Ponys und Kleinpferde,,15.0,15.0
2021,7,Vollblut,,8.0,8.0
2021,7,Warmblut,,26.0,26.0
2021,7,Wildequiden,,,
2021,8,Esel,,13.0,13.0
2021,8,Hofische Rasse,,,
2021,8,Iberer,,,
2021,8,Kaltblut,,11.0,11.0
2021,8,Maultier-Maulesel,,,
2021,8,Ponys und Kleinpferde,,20.0,20.0
2021,8,Vollblut,,,
2021,8,Warmblut,,21.0,21.0
2021,8,Wildequiden,,,
2021,9,Esel,,10.0,10.0
2021,9,Hofische Rasse,,,
2021,9,Iberer,,,
2021,9,Kaltblut,,9.0,9.0
2021,9,Maultier-Maulesel,,,
2021,9,Ponys und Kleinpferde,,16.0,16.0
2021,9,Vollblut,,,
2021,9,Warmblut,,16.0,16.0
2021,9,Wildequiden,,,
2021,10,Esel,,16.0,16.0
2021,10,Hofische Rasse,,,
2021,10,Iberer,,,
2021,10,Kaltblut,,,
2021,10,Maultier-Maulesel,,,
2021,10,Ponys und Kleinpferde,,22.0,22.0
2021,10,Vollblut,,,
2021,10,Warmblut,,27.0,27.0
2021,10,Wildequiden,,,
2021,11,Esel,,18.0,18.0
2021,11,Hofische Rasse,,,
2021,11,Iberer,,,
2021,11,Kaltblut,,14.0,14.0
2021,11,Maultier-Maulesel,,,
2021,11,Ponys und Kleinpferde,,24.0,24.0
2021,11,Vollblut,,,
2021,11,Warmblut,,18.0,18.0
2021,11,Wildequiden,,,
2021,12,Esel,,26.0,26.0
2021,12,Hofische Rasse,,,
2021,12,Iberer,,,
