year,month,ai,ar,be,bl,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2017,8,22.0,36.0,322.0,0.0,,100.0,53.0,269.0,37.0,48.0,13.0,23.0,83.0,132.0,8.0,119.0,0.0,35.0,45.0,182.0,96.0,,,29.0
2017,9,7.0,18.0,246.0,0.0,5.0,94.0,44.0,175.0,27.0,37.0,12.0,14.0,48.0,87.0,5.0,66.0,0.0,45.0,30.0,192.0,129.0,6.0,0.0,23.0
2017,10,0.0,0.0,51.0,0.0,0.0,30.0,0.0,28.0,31.0,,,,,0.0,0.0,8.0,0.0,20.0,,74.0,37.0,0.0,0.0,
2017,11,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2017,12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,5,,,27.0,0.0,,18.0,,5.0,9.0,,,,,8.0,,9.0,0.0,,0.0,21.0,,0.0,,
2018,6,5.0,12.0,149.0,0.0,,47.0,18.0,86.0,14.0,31.0,8.0,13.0,25.0,43.0,12.0,65.0,0.0,13.0,8.0,119.0,20.0,0.0,,9.0
2018,7,14.0,27.0,234.0,,6.0,90.0,33.0,220.0,63.0,51.0,,23.0,68.0,116.0,11.0,100.0,0.0,36.0,28.0,205.0,55.0,,7.0,13.0
2018,8,19.0,30.0,376.0,0.0,5.0,99.0,49.0,286.0,34.0,67.0,11.0,25.0,59.0,161.0,6.0,105.0,0.0,39.0,37.0,252.0,93.0,7.0,,25.0
2018,9,8.0,14.0,260.0,0.0,,73.0,50.0,205.0,18.0,54.0,21.0,22.0,57.0,87.0,6.0,72.0,,46.0,30.0,196.0,112.0,,0.0,14.0
2018,10,0.0,0.0,40.0,0.0,0.0,23.0,0.0,36.0,16.0,8.0,,5.0,8.0,,6.0,,0.0,9.0,,42.0,58.0,0.0,,
2018,11,0.0,0.0,9.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,0.0,0.0,0.0,0.0
2018,12,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,5,,,22.0,0.0,,14.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,23.0,,0.0,0.0,0.0
2019,6,8.0,20.0,114.0,,,54.0,8.0,79.0,20.0,11.0,6.0,6.0,22.0,44.0,7.0,47.0,0.0,22.0,,120.0,26.0,,0.0,14.0
2019,7,12.0,22.0,224.0,0.0,,73.0,26.0,205.0,14.0,45.0,8.0,18.0,50.0,101.0,,135.0,0.0,32.0,32.0,160.0,69.0,,,17.0
2019,8,35.0,30.0,341.0,,,97.0,43.0,232.0,30.0,39.0,6.0,32.0,53.0,146.0,8.0,126.0,0.0,48.0,50.0,216.0,93.0,,,21.0
2019,9,11.0,24.0,307.0,0.0,,116.0,58.0,210.0,23.0,43.0,10.0,31.0,60.0,87.0,9.0,75.0,0.0,42.0,39.0,193.0,136.0,5.0,0.0,11.0
2019,10,0.0,0.0,30.0,0.0,,41.0,0.0,41.0,10.0,8.0,,6.0,18.0,,0.0,14.0,0.0,37.0,,57.0,46.0,,0.0,8.0
2019,11,0.0,0.0,11.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0
2019,12,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5,,,30.0,0.0,0.0,30.0,0.0,5.0,,,,,,18.0,,13.0,0.0,,0.0,31.0,,,0.0,0.0
2020,6,21.0,20.0,175.0,0.0,5.0,85.0,28.0,102.0,,19.0,,20.0,43.0,80.0,7.0,76.0,0.0,16.0,26.0,122.0,40.0,,,6.0
2020,7,25.0,29.0,267.0,0.0,5.0,97.0,27.0,227.0,7.0,54.0,11.0,27.0,51.0,95.0,11.0,114.0,0.0,22.0,33.0,171.0,66.0,,0.0,15.0
2020,8,32.0,34.0,420.0,,8.0,111.0,46.0,284.0,29.0,50.0,5.0,24.0,59.0,152.0,6.0,102.0,0.0,43.0,46.0,232.0,89.0,0.0,,14.0
2020,9,9.0,15.0,189.0,0.0,8.0,103.0,59.0,165.0,13.0,33.0,6.0,17.0,59.0,57.0,9.0,74.0,0.0,35.0,20.0,167.0,79.0,0.0,,5.0
2020,10,0.0,0.0,56.0,0.0,0.0,30.0,,43.0,,,,0.0,,,0.0,7.0,0.0,29.0,,59.0,23.0,0.0,0.0,
2020,11,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0
2020,12,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,5,0.0,,18.0,0.0,0.0,17.0,0.0,5.0,,0.0,,0.0,,,,,0.0,,0.0,14.0,,0.0,0.0,
2021,6,12.0,18.0,189.0,,,64.0,16.0,77.0,6.0,14.0,10.0,11.0,30.0,56.0,8.0,34.0,0.0,10.0,8.0,100.0,34.0,,0.0,6.0
2021,7,19.0,36.0,233.0,0.0,,77.0,43.0,207.0,8.0,44.0,6.0,24.0,61.0,119.0,,132.0,0.0,27.0,31.0,148.0,66.0,0.0,,7.0
2021,8,49.0,35.0,382.0,5.0,0.0,104.0,42.0,243.0,20.0,39.0,11.0,31.0,80.0,170.0,11.0,102.0,0.0,32.0,56.0,197.0,65.0,0.0,,6.0
2021,9,7.0,13.0,274.0,0.0,7.0,89.0,54.0,152.0,24.0,50.0,10.0,19.0,55.0,73.0,,78.0,0.0,40.0,37.0,190.0,98.0,,,5.0
2021,10,0.0,0.0,90.0,0.0,0.0,37.0,0.0,38.0,10.0,,5.0,0.0,11.0,0.0,,0.0,0.0,32.0,,64.0,32.0,0.0,,5.0
2021,11,0.0,0.0,16.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0
2021,12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,5,,,26.0,0.0,,39.0,,10.0,,5.0,,,,11.0,0.0,18.0,0.0,0.0,0.0,35.0,,0.0,0.0,
2022,6,8.0,23.0,198.0,,6.0,75.0,28.0,126.0,10.0,24.0,8.0,26.0,34.0,68.0,7.0,74.0,0.0,12.0,17.0,103.0,29.0,0.0,0.0,7.0
2022,7,15.0,29.0,250.0,0.0,,97.0,33.0,200.0,10.0,30.0,14.0,22.0,70.0,118.0,7.0,94.0,0.0,30.0,36.0,164.0,64.0,0.0,,
2022,8,31.0,29.0,359.0,,,141.0,55.0,210.0,11.0,44.0,12.0,36.0,76.0,120.0,,95.0,0.0,37.0,36.0,202.0,85.0,0.0,,7.0
