year,month,,ae,ag,al,aq,ar,as,at,au,ax,az,bb,be,bg,br,bz,ca,cl,co,cz,de,dk,dz,ee,eg,es,et,fi,fr,gb,gf,gr,hr,hu,ie,il,ir,is,it,jo,kp,li,lt,lu,lv,ma,mx,na,ne,ng,nl,no,nz,pl,pt,py,ro,rs,ru,sa,sc,sd,se,sg,si,sk,sz,tn,ua,ug,us,uy,wf
2018,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,,0.0,0.0,,79,,0.0,,0.0,5.0,0.0,,68,7.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,9,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,,0.0,0.0,0.0,0.0,0.0,0.0,25,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2018,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,11.0,251,9.0,0.0,0.0,0.0,17.0,0.0,0.0,130,12.0,0.0,,,8.0,34.0,0.0,0.0,23.0,27.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6.0,0.0,0.0,0.0,0.0,,0.0,0.0
2018,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,62,0.0,0.0,0.0,0.0,,0.0,0.0,37,,0.0,0.0,0.0,,7.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,178,9.0,0.0,0.0,0.0,14.0,0.0,0.0,114,15.0,0.0,0.0,0.0,9.0,11.0,,0.0,36.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,98,,0.0,0.0,0.0,19.0,0.0,0.0,56,6.0,0.0,0.0,0.0,,12.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0
2019,3,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,127,,0.0,0.0,0.0,10.0,0.0,0.0,81,8.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
2019,4,0.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,0.0,,121,9.0,0.0,,0.0,8.0,0.0,0.0,65,7.0,,0.0,0.0,,17.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
2019,5,0.0,0.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,0.0,,100,,0.0,0.0,0.0,15.0,,0.0,65,8.0,0.0,0.0,0.0,,8.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
