year,month,breedtype,age1year,age1year,tot
2019,12,Iberer,,7.0,7.0
2019,12,Kaltblut,,25.0,25.0
2019,12,Maultier-Maulesel,,,
2019,12,Ponys und Kleinpferde,,85.0,85.0
2019,12,Vollblut,,15.0,15.0
2019,12,Warmblut,,118.0,118.0
2019,12,Wildequiden,,,
2020,1,Esel,,9.0,9.0
2020,1,Hofische Rasse,,,
2020,1,Iberer,,6.0,6.0
2020,1,Kaltblut,,26.0,26.0
2020,1,Maultier-Maulesel,,,
2020,1,Ponys und Kleinpferde,,78.0,78.0
2020,1,Vollblut,,11.0,11.0
2020,1,Warmblut,,98.0,98.0
2020,1,Wildequiden,,,
2020,2,Esel,,15.0,15.0
2020,2,Hofische Rasse,,,
2020,2,Iberer,,6.0,6.0
2020,2,Kaltblut,,41.0,41.0
2020,2,Maultier-Maulesel,,,
2020,2,Ponys und Kleinpferde,,74.0,74.0
2020,2,Vollblut,,13.0,13.0
2020,2,Warmblut,,95.0,95.0
2020,2,Wildequiden,,,
2020,3,Esel,,15.0,15.0
2020,3,Hofische Rasse,,6.0,6.0
2020,3,Iberer,,6.0,6.0
2020,3,Kaltblut,,33.0,33.0
2020,3,Maultier-Maulesel,,,
2020,3,Ponys und Kleinpferde,,78.0,78.0
2020,3,Vollblut,,19.0,19.0
2020,3,Warmblut,,100.0,100.0
2020,3,Wildequiden,,,
2020,4,Esel,,22.0,22.0
2020,4,Hofische Rasse,,,
2020,4,Iberer,,7.0,7.0
2020,4,Kaltblut,6.0,36.0,42.0
2020,4,Maultier-Maulesel,,,
2020,4,Ponys und Kleinpferde,,77.0,77.0
2020,4,Vollblut,,21.0,21.0
2020,4,Warmblut,,110.0,110.0
2020,4,Wildequiden,,,
2020,5,Esel,,14.0,14.0
2020,5,Hofische Rasse,,,
2020,5,Iberer,,7.0,7.0
2020,5,Kaltblut,9.0,26.0,35.0
2020,5,Maultier-Maulesel,,,
2020,5,Ponys und Kleinpferde,,82.0,82.0
2020,5,Vollblut,,11.0,11.0
2020,5,Warmblut,,92.0,92.0
2020,5,Wildequiden,,,
2020,6,Esel,,10.0,10.0
2020,6,Hofische Rasse,,,
2020,6,Iberer,,10.0,10.0
2020,6,Kaltblut,,30.0,30.0
2020,6,Maultier-Maulesel,,,
2020,6,Ponys und Kleinpferde,,87.0,87.0
2020,6,Vollblut,,22.0,22.0
2020,6,Warmblut,,89.0,89.0
2020,6,Wildequiden,,,
2020,7,Esel,,6.0,6.0
2020,7,Hofische Rasse,,,
2020,7,Iberer,,,
2020,7,Kaltblut,,32.0,32.0
2020,7,Maultier-Maulesel,,,
2020,7,Ponys und Kleinpferde,,78.0,78.0
2020,7,Vollblut,,20.0,20.0
2020,7,Warmblut,,95.0,95.0
2020,7,Wildequiden,,,
2020,8,Esel,,12.0,12.0
2020,8,Hofische Rasse,,,
2020,8,Iberer,,10.0,10.0
2020,8,Kaltblut,,21.0,21.0
2020,8,Maultier-Maulesel,,,
2020,8,Ponys und Kleinpferde,,76.0,76.0
2020,8,Vollblut,,18.0,18.0
2020,8,Warmblut,,113.0,113.0
2020,8,Wildequiden,,,
2020,9,Esel,,12.0,12.0
2020,9,Hofische Rasse,,,
2020,9,Iberer,,,
2020,9,Kaltblut,,25.0,25.0
2020,9,Maultier-Maulesel,,,
2020,9,Ponys und Kleinpferde,,85.0,85.0
2020,9,Vollblut,,20.0,20.0
2020,9,Warmblut,,118.0,118.0
2020,9,Wildequiden,,,
2020,10,Esel,,16.0,16.0
2020,10,Hofische Rasse,,,
2020,10,Iberer,,,
2020,10,Kaltblut,,45.0,45.0
2020,10,Maultier-Maulesel,,,
2020,10,Ponys und Kleinpferde,,88.0,88.0
2020,10,Vollblut,,20.0,20.0
2020,10,Warmblut,,116.0,116.0
2020,10,Wildequiden,,,
2020,11,Esel,,13.0,13.0
2020,11,Hofische Rasse,,,
2020,11,Iberer,,9.0,9.0
2020,11,Kaltblut,,18.0,18.0
2020,11,Maultier-Maulesel,,,
2020,11,Ponys und Kleinpferde,,68.0,68.0
2020,11,Vollblut,,26.0,26.0
2020,11,Warmblut,,112.0,112.0
2020,11,Wildequiden,,,
2020,12,Esel,,18.0,18.0
2020,12,Hofische Rasse,,,
2020,12,Iberer,,9.0,9.0
2020,12,Kaltblut,,33.0,33.0
2020,12,Maultier-Maulesel,,,
2020,12,Ponys und Kleinpferde,,70.0,70.0
2020,12,Vollblut,,18.0,18.0
2020,12,Warmblut,,118.0,118.0
2020,12,Wildequiden,,,
2021,1,Esel,,21.0,21.0
2021,1,Hofische Rasse,,6.0,6.0
2021,1,Iberer,,12.0,12.0
2021,1,Kaltblut,,42.0,42.0
2021,1,Maultier-Maulesel,,,
2021,1,Ponys und Kleinpferde,,86.0,86.0
2021,1,Vollblut,,17.0,17.0
2021,1,Warmblut,,103.0,103.0
2021,1,Wildequiden,,,
2021,2,Esel,,15.0,15.0
2021,2,Hofische Rasse,,,
2021,2,Iberer,,8.0,8.0
2021,2,Kaltblut,,34.0,34.0
2021,2,Maultier-Maulesel,,,
2021,2,Ponys und Kleinpferde,,75.0,75.0
2021,2,Vollblut,,15.0,15.0
2021,2,Warmblut,,97.0,97.0
2021,2,Wildequiden,,,
2021,3,Esel,,14.0,14.0
2021,3,Hofische Rasse,,,
2021,3,Iberer,,14.0,14.0
2021,3,Kaltblut,,40.0,40.0
2021,3,Maultier-Maulesel,,,
2021,3,Ponys und Kleinpferde,,80.0,80.0
2021,3,Vollblut,,12.0,12.0
2021,3,Warmblut,,106.0,106.0
2021,3,Wildequiden,,,
2021,4,Esel,,17.0,17.0
2021,4,Hofische Rasse,,,
2021,4,Iberer,,9.0,9.0
2021,4,Kaltblut,8.0,25.0,33.0
2021,4,Maultier-Maulesel,,,
2021,4,Ponys und Kleinpferde,,75.0,75.0
2021,4,Vollblut,,18.0,18.0
2021,4,Warmblut,,80.0,80.0
2021,4,Wildequiden,,,
2021,5,Esel,,10.0,10.0
2021,5,Hofische Rasse,,,
2021,5,Iberer,,15.0,15.0
2021,5,Kaltblut,,25.0,25.0
2021,5,Maultier-Maulesel,,,
2021,5,Ponys und Kleinpferde,,71.0,71.0
2021,5,Vollblut,,14.0,14.0
2021,5,Warmblut,,97.0,97.0
2021,5,Wildequiden,,,
2021,6,Esel,,7.0,7.0
2021,6,Hofische Rasse,,7.0,7.0
2021,6,Iberer,,9.0,9.0
2021,6,Kaltblut,,38.0,38.0
2021,6,Maultier-Maulesel,,,
2021,6,Ponys und Kleinpferde,,91.0,91.0
2021,6,Vollblut,,25.0,25.0
2021,6,Warmblut,,105.0,105.0
2021,6,Wildequiden,,,
2021,7,Esel,,9.0,9.0
2021,7,Hofische Rasse,,,
2021,7,Iberer,,14.0,14.0
2021,7,Kaltblut,,33.0,33.0
2021,7,Maultier-Maulesel,,,
2021,7,Ponys und Kleinpferde,,91.0,91.0
2021,7,Vollblut,,14.0,14.0
2021,7,Warmblut,,103.0,103.0
2021,7,Wildequiden,,,
2021,8,Esel,,11.0,11.0
2021,8,Hofische Rasse,,,
2021,8,Iberer,,7.0,7.0
2021,8,Kaltblut,,27.0,27.0
2021,8,Maultier-Maulesel,,,
2021,8,Ponys und Kleinpferde,,66.0,66.0
2021,8,Vollblut,,17.0,17.0
2021,8,Warmblut,,108.0,108.0
2021,8,Wildequiden,,,
2021,9,Esel,,11.0,11.0
2021,9,Hofische Rasse,,7.0,7.0
2021,9,Iberer,,10.0,10.0
2021,9,Kaltblut,,28.0,28.0
2021,9,Maultier-Maulesel,,,
2021,9,Ponys und Kleinpferde,,91.0,91.0
2021,9,Vollblut,,20.0,20.0
2021,9,Warmblut,,127.0,127.0
2021,9,Wildequiden,,,
2021,10,Esel,,11.0,11.0
2021,10,Hofische Rasse,,,
2021,10,Iberer,,9.0,9.0
2021,10,Kaltblut,,49.0,49.0
2021,10,Maultier-Maulesel,,,
2021,10,Ponys und Kleinpferde,,88.0,88.0
2021,10,Vollblut,,16.0,16.0
2021,10,Warmblut,,114.0,114.0
2021,10,Wildequiden,,,
2021,11,Esel,,17.0,17.0
2021,11,Hofische Rasse,,,
2021,11,Iberer,,7.0,7.0
2021,11,Kaltblut,,39.0,39.0
2021,11,Maultier-Maulesel,,,
2021,11,Ponys und Kleinpferde,,77.0,77.0
2021,11,Vollblut,,21.0,21.0
2021,11,Warmblut,6.0,112.0,118.0
2021,11,Wildequiden,,,
2021,12,Esel,,18.0,18.0
2021,12,Hofische Rasse,,,
2021,12,Iberer,,12.0,12.0
2021,12,Kaltblut,,36.0,36.0
2021,12,Maultier-Maulesel,,,
2021,12,Ponys und Kleinpferde,,86.0,86.0
2021,12,Vollblut,,17.0,17.0
2021,12,Warmblut,,113.0,113.0
2021,12,Wildequiden,,,
2022,1,Esel,,13.0,13.0
2022,1,Hofische Rasse,,,
2022,1,Iberer,,12.0,12.0
2022,1,Kaltblut,,24.0,24.0
2022,1,Maultier-Maulesel,,,
2022,1,Ponys und Kleinpferde,,70.0,70.0
2022,1,Vollblut,,14.0,14.0
2022,1,Warmblut,,119.0,119.0
2022,1,Wildequiden,,,
2022,2,Esel,,16.0,16.0
2022,2,Hofische Rasse,,,
2022,2,Iberer,,6.0,6.0
2022,2,Kaltblut,,28.0,28.0
2022,2,Maultier-Maulesel,,,
2022,2,Ponys und Kleinpferde,,68.0,68.0
2022,2,Vollblut,,15.0,15.0
2022,2,Warmblut,,93.0,93.0
2022,2,Wildequiden,,,
2022,3,Esel,,16.0,16.0
2022,3,Hofische Rasse,,,
2022,3,Iberer,,7.0,7.0
2022,3,Kaltblut,,34.0,34.0
2022,3,Maultier-Maulesel,,,
2022,3,Ponys und Kleinpferde,,97.0,97.0
2022,3,Vollblut,,17.0,17.0
2022,3,Warmblut,,125.0,125.0
2022,3,Wildequiden,,,
2022,4,Esel,,16.0,16.0
2022,4,Hofische Rasse,,,
2022,4,Iberer,,6.0,6.0
2022,4,Kaltblut,,30.0,30.0
2022,4,Maultier-Maulesel,,,
2022,4,Ponys und Kleinpferde,,78.0,78.0
2022,4,Vollblut,,22.0,22.0
2022,4,Warmblut,,116.0,116.0
2022,4,Wildequiden,,,
2022,5,Esel,,13.0,13.0
2022,5,Hofische Rasse,,7.0,7.0
2022,5,Iberer,,6.0,6.0
2022,5,Kaltblut,,37.0,37.0
2022,5,Maultier-Maulesel,,,
2022,5,Ponys und Kleinpferde,,69.0,69.0
2022,5,Vollblut,,17.0,17.0
