year,month,breed,n_animals
2018,1,Cao de agua Portugues (Portugiesischer Wasserhund),255.0
2018,2,Cao de agua Portugues (Portugiesischer Wasserhund),257.0
2018,3,Cao de agua Portugues (Portugiesischer Wasserhund),256.0
2018,4,Cao de agua Portugues (Portugiesischer Wasserhund),257.0
2018,5,Cao de agua Portugues (Portugiesischer Wasserhund),253.0
2018,6,Cao de agua Portugues (Portugiesischer Wasserhund),251.0
2018,7,Cao de agua Portugues (Portugiesischer Wasserhund),251.0
2018,8,Cao de agua Portugues (Portugiesischer Wasserhund),261.0
2018,9,Cao de agua Portugues (Portugiesischer Wasserhund),263.0
2018,10,Cao de agua Portugues (Portugiesischer Wasserhund),264.0
2018,11,Cao de agua Portugues (Portugiesischer Wasserhund),263.0
2018,12,Cao de agua Portugues (Portugiesischer Wasserhund),263.0
2019,1,Cao de agua Portugues (Portugiesischer Wasserhund),263.0
2019,2,Cao de agua Portugues (Portugiesischer Wasserhund),263.0
2019,3,Cao de agua Portugues (Portugiesischer Wasserhund),270.0
2019,4,Cao de agua Portugues (Portugiesischer Wasserhund),271.0
2019,5,Cao de agua Portugues (Portugiesischer Wasserhund),271.0
2019,6,Cao de agua Portugues (Portugiesischer Wasserhund),272.0
2019,7,Cao de agua Portugues (Portugiesischer Wasserhund),272.0
2019,8,Cao de agua Portugues (Portugiesischer Wasserhund),277.0
2019,9,Cao de agua Portugues (Portugiesischer Wasserhund),278.0
2019,10,Cao de agua Portugues (Portugiesischer Wasserhund),282.0
2019,11,Cao de agua Portugues (Portugiesischer Wasserhund),283.0
2019,12,Cao de agua Portugues (Portugiesischer Wasserhund),284.0
2020,1,Cao de agua Portugues (Portugiesischer Wasserhund),289.0
2020,2,Cao de agua Portugues (Portugiesischer Wasserhund),289.0
2020,3,Cao de agua Portugues (Portugiesischer Wasserhund),288.0
2020,4,Cao de agua Portugues (Portugiesischer Wasserhund),295.0
2020,5,Cao de agua Portugues (Portugiesischer Wasserhund),301.0
2020,6,Cao de agua Portugues (Portugiesischer Wasserhund),302.0
2020,7,Cao de agua Portugues (Portugiesischer Wasserhund),302.0
2020,8,Cao de agua Portugues (Portugiesischer Wasserhund),301.0
2020,9,Cao de agua Portugues (Portugiesischer Wasserhund),300.0
2020,10,Cao de agua Portugues (Portugiesischer Wasserhund),302.0
2020,11,Cao de agua Portugues (Portugiesischer Wasserhund),304.0
2020,12,Cao de agua Portugues (Portugiesischer Wasserhund),309.0
2021,1,Cao de agua Portugues (Portugiesischer Wasserhund),318.0
2021,2,Cao de agua Portugues (Portugiesischer Wasserhund),319.0
